GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6
col1a1	protein_coding	chrNC_030686.1:13936262-13962423:+	gi|58332412|ref|NP_001011005.1|	1566	0	collagen alpha-1(I) chain precursor [Xenopus tropicalis]	gi|58332411|ref|NM_001011005.1|	5663	0	Xenopus (Silurana) tropicalis collagen, type I, alpha 1 (col1a1), mRNA	Q9YIB4	60.8	1.00E-07	Collagen alpha-1(I) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	.	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	62.07944491	51.38375626	25.04804007	104.5079644	30.01232524	69.57340872	1225.081838	416.9277648	478.2835045	575.4217331	550.4320908	351.797982	41.47982176	79.78721712	22.33734407	18.30535661	21.65623721	42.85004987	607.5394002	286.0730904	346.6765686	163.6361132	339.916802	488.2557109	66.60924951	16.30538753	52.33139251	27.11530629	59.69319416	32.17046701	345.2307891	370.6000042	176.9848916	376.1744316	207.7227817	265.5579626	33.39108849	116.3209112	43.45469959	98.55644807	51.19678056	37.44067292	279.6461759	875.5719524	441.0020192	574.1817534	435.2231819	425.5357361
scg3	protein_coding	chrNC_030679.1:92450614-92479917:-	gi|452881615|ref|NP_001263623.1|	2186	0	secretogranin-3 isoform 1 precursor [Xenopus tropicalis]	gi|452881614|ref|NM_001276694.1|	2418	0	Xenopus (Silurana) tropicalis secretogranin III (scg3), transcript variant 1, mRNA	F7E728	835	0	Secretogranin-3	.	.	.	.	pfam15467	SGIII	Secretogranin-3. Secretogranin_3 is a family of vertebrate proteins that is one of the granin family. Granins are rich in acidic amino acids, exhibit aggregation at low pH, and possess a high capacity for calcium binding. Because granins are restricted in their localisation to secretory granules of neuroendocrine cells, two interesting characteristics of their sorting mechanisms have been observed. These are, first, that they aggregate on low pH/high calcium concentrations and second that two of them carry an N-terminal disulfide loop, mutations in which lead to mis-sorting. Thus, granins are thought to be essential for the sorting of secretory proteins at the trans-Golgi network. Chromogranin A (CgA) binds to SGIII in secretory granules of endocrine cells. SGIII directly binds to cholesterol components of the secretory granule membrane and targets CgA to secretory granules in pituitary and pancreatic endocrine cells. Mutations in the SGIII gene may influence the risk of obesity through possible regulation of hypothalamic neuropeptide secretion.	.	GO:0031410|cytoplasmic vesicle;GO:0005576|extracellular region;GO:0030658|transport vesicle membrane;	.	.	.	12.67645101	17.57133024	9.31476402	19.04588193	15.73176554	14.44380073	7.239766343	7.426746061	7.656854457	6.056333855	7.206214228	2.632747744	13.41218013	15.97941284	15.05875669	14.71188295	12.67719205	16.31622222	2.496184748	5.371733243	3.435285409	4.171128817	3.321546591	3.974130929	15.52655629	16.50053521	9.901636733	19.02924182	13.14369081	19.0792146	2.989612894	3.006831595	2.962183948	3.8326405	2.685055818	6.722654343	12.09382534	16.58845056	13.45098232	11.2481069	12.02901971	9.933876956	2.795852665	6.338594216	3.941242815	10.28660218	4.930009022	8.58134301
apoe	protein_coding	chrNC_030683.1:101372175-101377797:+	gi|49522289|gb|AAH75258.1|	1238	1.00E-164	apoe protein, partial [Xenopus tropicalis]	gi|847105036|ref|XM_002941039.3|	1749	0	PREDICTED: Xenopus (Silurana) tropicalis apolipoprotein E (apoe), transcript variant X4, mRNA	O42364	132	3.00E-33	Apolipoprotein Eb	.	.	.	.	pfam01442	Apolipoprotein	Apolipoprotein A1/A4/E domain. These proteins contain several 22 residue repeats which form a pair of alpha helices. This family includes: Apolipoprotein A-I. Apolipoprotein A-IV, and Apolipoprotein E.	GO:0006695|cholesterol biosynthetic process;GO:0006707|cholesterol catabolic process;GO:0033344|cholesterol efflux;GO:0042632|cholesterol homeostasis;GO:0034380|high-density lipoprotein particle assembly;GO:0042159|lipoprotein catabolic process;GO:0043524|negative regulation of neuron apoptotic process;GO:0031102|neuron projection regeneration;GO:0033700|phospholipid efflux;GO:0010873|positive regulation of cholesterol esterification;GO:0046889|positive regulation of lipid biosynthetic process;GO:0051000|positive regulation of nitric-oxide synthase activity;GO:0030516|regulation of axon extension;GO:1900221|regulation of amyloid-beta clearance;GO:0032374|regulation of cholesterol transport;GO:0043691|reverse cholesterol transport;GO:0019433|triglyceride catabolic process;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0072562|blood microparticle;GO:0042627|chylomicron;GO:0034364|high-density lipoprotein particle;GO:0034363|intermediate-density lipoprotein particle;	GO:0001540|amyloid-beta binding;GO:0015485|cholesterol binding;GO:0017127|cholesterol transporter activity;GO:0050750|low-density lipoprotein particle receptor binding;GO:0060228|phosphatidylcholine-sterol O-acyltransferase activator activity;GO:0005543|phospholipid binding;GO:0070326|very-low-density lipoprotein particle receptor binding;	K04524	APOE; apolipoprotein E	2055.931616	2599.799535	2724.999701	3142.588815	2614.170057	2926.964323	63.67834166	18.87666073	51.75844864	90.36435776	24.51991993	6.546045122	1261.710058	999.2599123	2743.295921	2011.677539	2480.313061	3800.084781	16.23394701	43.66366175	16.98966019	20.43258005	23.06816997	27.67426983	3554.078237	2435.083131	2953.122451	3431.615096	639.2657006	2299.234547	37.57406733	31.54782122	14.78671889	12.3665281	31.01753416	9.815328771	2244.209847	3657.072591	1906.537199	2642.580362	1660.987483	2525.324847	142.8920833	36.05779394	44.67152403	16.14423123	59.3946325	66.3155499
mmp2	protein_coding	chrNC_030680.1:45322370-45354092:+	gi|62752843|ref|NP_001015789.1|	3410	0	72 kDa type IV collagenase precursor [Xenopus tropicalis]	gi|62752842|ref|NM_001015789.1|	2620	0	Xenopus (Silurana) tropicalis matrix metallopeptidase 2 (mmp2), mRNA	P08253	1101	0	72 kDa type IV collagenase	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0001525|angiogenesis;GO:0001955|blood vessel maturation;GO:0060346|bone trabecula formation;GO:0044267|cellular protein metabolic process;GO:0071230|cellular response to amino acid stimulus;GO:0030574|collagen catabolic process;GO:0007566|embryo implantation;GO:0035987|endodermal cell differentiation;GO:0048013|ephrin receptor signaling pathway;GO:0022617|extracellular matrix disassembly;GO:0060325|face morphogenesis;GO:0001957|intramembranous ossification;GO:0045089|positive regulation of innate immune response;GO:1904707|positive regulation of vascular smooth muscle cell proliferation;GO:0006508|proteolysis;GO:0001666|response to hypoxia;	GO:0031012|extracellular matrix;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005739|mitochondrion;GO:0005634|nucleus;GO:0005886|plasma membrane;GO:0005578|proteinaceous extracellular matrix;GO:0030017|sarcomere;	GO:0004222|metalloendopeptidase activity;GO:0008237|metallopeptidase activity;GO:0004252|serine-type endopeptidase activity;GO:0008270|zinc ion binding;	K01398	MMP2; matrix metalloproteinase-2 (gelatinase A) [EC:3.4.24.24]	18.22720764	12.61290652	16.10445384	16.0550019	11.71947069	14.49796385	177.419968	112.591413	140.7632703	160.7680642	141.7739807	98.69872604	14.49944837	15.70968656	9.607761029	14.62203939	11.86164503	10.44541621	153.0912247	131.5440264	154.8631907	80.84029735	146.1275104	142.6058675	11.22436867	4.205505441	17.13697054	11.70015701	18.08949031	7.999674335	122.6855211	113.312793	66.20650715	140.7784443	101.6704438	103.7775096	11.48830359	14.33178459	17.3117783	16.14804558	20.20309865	23.75234373	104.139783	197.8064729	150.3145633	211.2251831	170.9689977	137.8214737
nell2	protein_coding	chrNC_030679.1:54574219-54690283:+	gi|148235875|ref|NP_001090754.1|	4339	0	protein kinase C-binding protein NELL2 precursor [Xenopus tropicalis]	gi|148235874|ref|NM_001097285.1|	3892	0	Xenopus (Silurana) tropicalis neural EGFL like 2 (nell2), mRNA	A2VCU8	1675	0	Protein kinase C-binding protein NELL2	.	.	.	.	pfam12947	EGF_3	EGF domain. This family includes a variety of EGF-like domain homologues. This family includes the C-terminal domain of the malaria parasite MSP1 protein.	.	GO:0005576|extracellular region;	GO:0005509|calcium ion binding;	.	.	15.80572898	11.6679623	12.27572247	11.93476797	10.51627553	10.52505616	52.10046136	26.99226559	26.17602972	21.63869786	41.23834161	18.27919922	17.92731969	13.82876478	10.85065368	11.28153317	12.08539236	11.59145729	25.92686736	15.82123857	30.51063404	11.64748415	29.79493187	19.77702171	11.15455324	4.55439918	14.19109883	12.04332038	23.78076107	9.668812412	23.85707966	15.33051312	11.96093973	34.15278289	12.71011661	18.89480934	9.377468142	13.52112187	16.82969863	14.54434357	18.61524374	18.13500338	22.59746802	42.38291273	38.45962523	42.5748635	43.18213963	44.62881215
bpi	protein_coding	chrNC_030686.1:30711073-30727760:-	gi|166795971|ref|NP_001107736.1|	2371	0	bactericidal/permeability-increasing protein precursor [Xenopus tropicalis]	gi|166795970|ref|NM_001114264.1|	1586	0	Xenopus (Silurana) tropicalis bactericidal/permeability-increasing protein (bpi), mRNA	P17453	410	2.00E-136	Bactericidal permeability-increasing protein	.	.	.	.	pfam02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar.	GO:0050829|defense response to Gram-negative bacterium;GO:0006955|immune response;	GO:0005615|extracellular space;GO:0016020|membrane;	GO:0001530|lipopolysaccharide binding;	.	.	48.60532088	53.91436841	49.60985962	39.29535219	28.82197735	41.18228943	7.237986497	6.012536554	5.077772599	10.93066115	6.140489799	6.593742915	53.92750206	47.14743299	45.64532415	56.39741927	70.58814207	37.26947064	10.04625549	6.804142711	5.198072665	9.197868088	7.846298096	3.608053287	32.31822045	50.51592966	42.27357836	52.76293873	64.76236341	45.09951276	11.6212476	17.44075223	10.66330611	10.29380563	20.23695798	16.11570873	62.51748549	41.09159814	44.33305423	44.49667064	35.77684497	40.98064082	14.1388448	7.476022231	8.274575164	7.297256424	7.09232301	7.910271691
bpi	protein_coding	chrNC_030686.1:30827952-30849637:-	gi|847168170|ref|XP_012827185.1|	2355	0	PREDICTED: bactericidal permeability-increasing protein isoform X1 [Xenopus tropicalis]	gi|847168169|ref|XM_012971731.1|	2487	0	PREDICTED: Xenopus (Silurana) tropicalis bactericidal/permeability-increasing protein (bpi), transcript variant X1, mRNA	P17213	394	9.00E-128	Bactericidal permeability-increasing protein	.	.	.	.	pfam02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar.	GO:0050829|defense response to Gram-negative bacterium;GO:0006955|immune response;GO:0032715|negative regulation of interleukin-6 production;GO:0032717|negative regulation of interleukin-8 production;GO:0043031|negative regulation of macrophage activation;GO:0032720|negative regulation of tumor necrosis factor production;	GO:0005737|cytoplasm;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0001530|lipopolysaccharide binding;	.	.	20.05523065	20.08225282	13.96310888	19.84415291	14.56691634	13.71912575	9.431415454	14.3960963	5.678364755	21.91591628	4.218593851	7.621651056	16.60114812	33.90489047	18.50301372	19.49669586	18.98449528	11.32167403	15.66321134	12.0325614	5.354973484	15.88548105	13.64527751	6.237800545	17.7304776	14.63244797	15.38360138	16.02406647	25.65619051	19.73115403	17.36546714	23.52055991	23.66865657	12.91558838	48.74831524	24.63689842	19.37319654	16.51244253	22.19569099	15.39452509	14.08088293	12.8896124	17.39463526	10.46569979	9.751700546	5.811397326	6.608750282	7.138645735
mmp1	protein_coding	chrNC_030678.1:158559069-158569680:+	gi|71896459|ref|NP_001025501.1|	2432	0	matrix metallopeptidase 1 precursor [Xenopus tropicalis]	gi|71896458|ref|NM_001030330.1|	1484	0	Xenopus (Silurana) tropicalis matrix metallopeptidase 1 (mmp1), mRNA	O13065	837	0	Matrix metalloproteinase-18	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0030574|collagen catabolic process;	GO:0005578|proteinaceous extracellular matrix;	GO:0005509|calcium ion binding;GO:0004222|metalloendopeptidase activity;GO:0008270|zinc ion binding;	.	.	57.91726362	679.9648686	462.4826436	1781.744427	1554.735756	1893.771958	1.445561934	112.7651718	2.458939642	30.52034969	1.489607463	14.52165651	22.85294795	23.57313916	286.1594797	210.8986689	250.4126547	2911.470099	25.09760725	44.3157338	1.67883102	32.82301431	2.597713626	1.195780773	1361.487249	128.9821965	2099.182065	1021.106857	11.25631218	228.2018164	15.76960715	138.1025006	1158.405124	3.16202072	16.40143152	36.75573046	502.033126	1536.790168	171.0635097	974.0686532	196.4520312	954.7489191	13.33046068	2.694867283	0.91810454	28.29743663	2.75322827	2.833840622
enpp2	protein_coding	chrNC_030682.1:122888601-122942850:-	gi|847135208|ref|XP_012820111.1|	4946	0	PREDICTED: ectonucleotide pyrophosphatase/phosphodiesterase family member 2 isoform X1 [Xenopus tropicalis]	gi|847135211|ref|XM_012964658.1|	3508	0	PREDICTED: Xenopus (Silurana) tropicalis ectonucleotide pyrophosphatase/phosphodiesterase 2 (enpp2), transcript variant X2, mRNA	Q64610	1380	0	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	SPBC725.05c	214	3.00E-59	COG1524	pfam01663	Phosphodiest	Type I phosphodiesterase / nucleotide pyrophosphatase. This family consists of phosphodiesterases, including human plasma-cell membrane glycoprotein PC-1 / alkaline phosphodiesterase i / nucleotide pyrophosphatase (nppase). These enzymes catalyse the cleavage of phosphodiester and phosphosulfate bonds in NAD, deoxynucleotides and nucleotide sugars. Also in this family is ATX an autotaxin, tumor cell motility-stimulating protein which exhibits type I phosphodiesterases activity. The alignment encompasses the active site. Also present with in this family is 60-kDa Ca2+-ATPase form F. odoratum.	GO:0006935|chemotaxis;GO:0006955|immune response;GO:0034638|phosphatidylcholine catabolic process;GO:0009395|phospholipid catabolic process;GO:0010634|positive regulation of epithelial cell migration;GO:2000394|positive regulation of lamellipodium morphogenesis;GO:0050731|positive regulation of peptidyl-tyrosine phosphorylation;GO:0045765|regulation of angiogenesis;GO:0030334|regulation of cell migration;	GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0047391|alkylglycerophosphoethanolamine phosphodiesterase activity;GO:0005509|calcium ion binding;GO:0004622|lysophospholipase activity;GO:0003676|nucleic acid binding;GO:0004551|nucleotide diphosphatase activity;GO:0004528|phosphodiesterase I activity;GO:0030247|polysaccharide binding;GO:0005044|scavenger receptor activity;GO:0008270|zinc ion binding;	K01122	ENPP2; ectonucleotide pyrophosphatase/phosphodiesterase family member 2 [EC:3.1.4.39]	25.36971365	29.73379223	20.75127109	13.61163079	19.69460167	9.423316832	189.098367	147.6598141	122.2242658	66.07131188	150.763588	60.2307352	25.05925152	32.83243933	25.49310915	37.57084982	27.95125806	22.33814474	200.3551838	89.89470767	147.6165661	74.72513008	158.0745574	98.80941824	17.32350781	7.576260895	23.13067595	17.4427732	40.70686572	7.585993802	99.928514	95.5837864	85.01578726	184.8420282	80.92969958	62.36172193	32.32946757	17.29286772	37.23808719	19.85183951	54.82044284	35.74673361	144.7920033	142.3827513	150.4088503	162.155291	196.9094119	161.9750135
col12a1	protein_coding	chrNC_030681.1:82007932-82160037:-	gi|512841700|ref|XP_002936246.2|	15050	0	PREDICTED: collagen alpha-1(XII) chain isoform X1 [Xenopus tropicalis]	gi|512841699|ref|XM_002936200.2|	10383	0	PREDICTED: Xenopus (Silurana) tropicalis collagen, type XII, alpha 1 (col12a1), transcript variant X1, mRNA	P13944	162	4.00E-38	Collagen alpha-1(XII) chain	.	.	.	.	pfam00092	VWA	von Willebrand factor type A domain.	GO:0007155|cell adhesion;	GO:0005581|collagen trimer;GO:0005578|proteinaceous extracellular matrix;	.	K08132	COL12A; collagen, type XII, alpha	22.52763635	20.3919362	11.105229	19.28200914	12.74466135	19.17053478	89.66534705	56.20102775	55.14530695	57.31367922	56.89441617	34.09666867	14.68821029	19.87865947	10.85795515	15.99429192	10.41448211	14.09148646	70.77899518	99.70469951	64.08319899	51.30062485	76.1849417	78.08721482	17.71702192	6.469857354	15.25049521	10.29473485	19.17887416	10.41084652	60.0365859	53.03790778	48.5105274	68.93580084	68.08082106	64.07387799	18.17771252	21.66084958	21.49957803	20.67217297	30.57606147	18.30689032	55.7691994	74.2290648	66.31584854	67.3836379	70.63096056	68.59010859
pla2g3	protein_coding	chrNC_030677.1:131647707-131654460:-	gi|847096505|ref|XP_012811325.1|	1158	3.00E-155	PREDICTED: group 3 secretory phospholipase A2 [Xenopus tropicalis]	gi|847096504|ref|XM_012955871.1|	829	0	PREDICTED: Xenopus (Silurana) tropicalis phospholipase A2, group III (pla2g3), mRNA	Q9NZ20	179	7.00E-49	Group 3 secretory phospholipase A2	.	.	.	.	pfam05826	Phospholip_A2_2	Phospholipase A2. This family consists of several phospholipase A2 like proteins mostly from insects.	GO:0001675|acrosome assembly;GO:0050482|arachidonic acid secretion;GO:0060271|cilium assembly;GO:0016042|lipid catabolic process;GO:0019372|lipoxygenase pathway;GO:0043303|mast cell degranulation;GO:0036151|phosphatidylcholine acyl-chain remodeling;GO:0036152|phosphatidylethanolamine acyl-chain remodeling;GO:0036148|phosphatidylglycerol acyl-chain remodeling;GO:0006644|phospholipid metabolic process;GO:0007288|sperm axoneme assembly;	GO:0005814|centriole;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0042629|mast cell granule;GO:0005886|plasma membrane;	GO:0047498|calcium-dependent phospholipase A2 activity;GO:0046872|metal ion binding;GO:0004623|phospholipase A2 activity;	K01047	PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]	2.939524873	5.750431857	9.605869997	17.34114612	7.306803072	18.26026993	0.0	0.0	0.0	0.045485003	0.091987182	0.084886578	2.171384823	9.613223409	6.564845438	5.934915758	7.449505564	11.95333925	0.288744694	0.181819277	0.044924635	0.0	0.044687218	0.046449384	6.058822359	4.215947735	6.474071481	15.05191907	1.718186798	3.893951145	0.048196416	0.093716406	0.312713155	0.0	0.430392109	0.047085511	5.86698871	5.025298985	2.652632447	3.666186114	1.958075867	5.748905383	0.045863501	0.04507077	0.04606499	0.088852943	0.0	0.046114106
trak2	protein_coding	chrNC_030685.1:49057888-49088681:-	gi|512866633|ref|XP_004917836.1|	4125	0	PREDICTED: trafficking kinesin-binding protein 2 isoform X1 [Xenopus tropicalis]	gi|847166525|ref|XM_004917779.2|	5092	0	PREDICTED: Xenopus (Silurana) tropicalis trafficking protein, kinesin binding 2 (trak2), transcript variant X1, mRNA	O60296	848	0	Trafficking kinesin-binding protein 2	.	.	.	.	pfam04849	HAP1_N	HAP1 N-terminal conserved region. This family represents an N-terminal conserved region found in several huntingtin-associated protein 1 (HAP1) homologues. HAP1 binds to huntingtin in a polyglutamine repeat-length-dependent manner. However, its possible role in the pathogenesis of Huntington's disease is unclear. This family also includes a similar N-terminal conserved region from hypothetical protein products of ALS2CR3 genes found in the human juvenile amyotrophic lateral sclerosis critical region 2q33-2q34.	GO:0006493|protein O-linked glycosylation;GO:0006605|protein targeting;GO:0006357|regulation of transcription from RNA polymerase II promoter;	GO:0005737|cytoplasm;GO:0005769|early endosome;GO:0005739|mitochondrion;GO:0005634|nucleus;GO:0005886|plasma membrane;	GO:0050811|GABA receptor binding;GO:0005102|receptor binding;	K15374	TRAK2, GRIF1; trafficking kinesin-binding protein 2	75.21045814	34.20382104	39.32699356	36.02126723	23.06100711	40.82532054	11.03920373	10.7052763	10.28123772	11.66602656	10.37867785	8.606493481	82.61195623	36.80172673	78.53713222	76.04032569	87.1295042	49.42466581	9.990222237	11.0671606	9.455861718	9.083345512	10.1915073	9.060874179	53.61733566	59.64429202	70.6842404	69.95030243	79.04456651	85.28240791	10.9221839	9.795136146	9.209307964	9.374773222	9.409119158	9.910688945	75.28405357	72.52055714	75.84399893	75.8094173	90.57193502	78.68717178	10.0511028	13.51354977	11.33775317	10.98796796	9.723359198	10.03939035
col3a1	protein_coding	chrNC_030685.1:39803845-39864240:-	gi|218847780|ref|NP_001136379.1|	1436	1.00E-166	collagen alpha-1(III) chain precursor [Xenopus tropicalis]	gi|218847779|ref|NM_001142907.1|	5222	0	Xenopus (Silurana) tropicalis collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) (col3a1), mRNA	P13941	147	4.00E-34	Collagen alpha-1(III) chain	.	.	.	.	pfam01410	COLFI	Fibrillar collagen C-terminal domain. Found at C-termini of fibrillar collagens: Ephydatia muelleri procollagen EMF1 alpha, vertebrate collagens alpha(1)III, alpha(1)II, alpha(2)V etc.	GO:0007568|aging;GO:0060414|aorta smooth muscle tissue morphogenesis;GO:0007160|cell-matrix adhesion;GO:0071230|cellular response to amino acid stimulus;GO:0021987|cerebral cortex development;GO:0030199|collagen fibril organization;GO:0048565|digestive tract development;GO:0007507|heart development;GO:0007229|integrin-mediated signaling pathway;GO:0050777|negative regulation of immune response;GO:2001223|negative regulation of neuron migration;GO:0018149|peptide cross-linking;GO:0035025|positive regulation of Rho protein signal transduction;GO:0034097|response to cytokine;GO:0009612|response to mechanical stimulus;GO:0009314|response to radiation;GO:0001501|skeletal system development;GO:0043588|skin development;GO:0007179|transforming growth factor beta receptor signaling pathway;GO:0042060|wound healing;	GO:0005586|collagen type III trimer;GO:0031012|extracellular matrix;GO:0005615|extracellular space;	GO:0005201|extracellular matrix structural constituent;GO:0046872|metal ion binding;	.	.	73.79016621	83.06121195	36.04316176	199.9085448	46.44551541	153.870346	1139.448386	459.8421777	459.424805	627.6162562	512.8782085	520.4962853	53.20058846	133.432037	45.68103796	30.44503582	32.08732161	72.45873299	556.8605905	416.2515742	393.8420073	199.6193594	359.6285725	480.8836362	120.7531788	26.09516505	90.22332501	50.23541428	84.04647312	60.71632653	445.6007118	434.3805425	271.4775674	398.4284282	260.9733605	296.534217	40.72298036	184.9149057	63.9490184	162.7533007	65.1385469	60.78991829	216.9501293	1016.524902	357.9725703	775.3879455	428.952382	402.2399156
sparc	protein_coding	chrNC_030679.1:11519289-11535993:-	gi|45361541|ref|NP_989347.1|	1434	0	SPARC precursor [Xenopus tropicalis]	gi|51491873|ref|NM_204016.2|	1679	0	Xenopus (Silurana) tropicalis secreted protein, acidic, cysteine-rich (osteonectin) (sparc), mRNA	P36378	516	5.00E-180	SPARC	.	.	.	.	pfam10591	SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region. The SPARC_Ca_bdg domain of Secreted Protein Acidic and Rich in Cysteine is responsible for the anti-spreading activity of human urothelial cells. It is rich in alpha-helices. This extracellular calcium-binding domain contains two EF-hands that each coordinates one Ca2+ ion, forming a helix-loop-helix structure that not only drives the conformation of the protein but is also necessary for biological activity. The anti-spreading activity was dependent on the coordination of Ca2+ by a Glu residue at the Z position of EF-hand 2.	GO:0007165|signal transduction;	GO:0005604|basement membrane;GO:0005615|extracellular space;	GO:0005509|calcium ion binding;	.	.	90.07461781	106.6334159	46.15469004	242.5756329	62.56311271	187.2446212	2797.934413	1914.848714	1763.974046	2094.7129	2027.035273	1971.204975	68.45725414	253.2787071	36.53975362	38.4771151	38.49839044	73.15776357	1600.084572	1547.282753	1307.540791	879.7356575	1128.183756	1808.889985	98.91722155	23.03780125	87.68539664	65.69752082	83.47046633	64.61231403	1496.967348	1232.610587	716.7858844	1261.458693	828.9451997	1088.833635	52.57844372	203.2488471	61.95305862	209.5620042	80.93655079	61.17639658	791.22832	3212.357841	1384.506841	3121.035868	2004.869863	1416.772399
