Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length
F6VAP3,F6VAP3_XENTR,unreviewed,Perforin 1,prf1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),545
Q0IJ34,Q0IJ34_XENTR,unreviewed,Insulin-like growth factor-binding protein 5,igfbp5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),261
F6WN42,F6WN42_XENTR,unreviewed,"Somatostatin, gene 1",LOC100486511,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),115
Q0V9M6,Q0V9M6_XENTR,unreviewed,"Leucine-rich, glioma inactivated 1",lgi1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),547
Q4V9Y5,CRLD2_XENTR,reviewed,Cysteine-rich secretory protein LCCL domain-containing 2,crispld2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),500
Q66IL0,CHID1_XENTR,reviewed,Chitinase domain-containing protein 1,chid1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),394
B1WB06,MET24_XENTR,reviewed,Probable methyltransferase-like protein 24 (EC 2.1.1.-),mettl24,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),353
Q66KD0,BTBDH_XENTR,reviewed,BTB/POZ domain-containing protein 17,btbd17,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),468
Q0V9M0,CRAC1_XENTR,reviewed,Cartilage acidic protein 1 (ASPIC),crtac1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),647
A4IIT5,OLM2A_XENTR,reviewed,Olfactomedin-like protein 2A,olfml2a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),642
Q5M8J5,SPB5_XENTR,reviewed,Serpin B5,serpinb5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),379
B0BLZ5,THEM6_XENTR,reviewed,Protein THEM6,them6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),206
B1H2T2,DIK2A_XENTR,reviewed,Divergent protein kinase domain 2A (Deleted in autism protein 1 homolog),dipk2a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),429
B0BLS9,FAM3C_XENTR,reviewed,Protein FAM3C,fam3c,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),229
Q6P4M5,GFOD1_XENTR,reviewed,Glucose-fructose oxidoreductase domain-containing protein 1 (EC 1.-.-.-),gfod1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),390
Q5BKK6,GFOD2_XENTR,reviewed,Glucose-fructose oxidoreductase domain-containing protein 2 (EC 1.-.-.-),gfod2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),384
Q6DIQ1,GL1D1_XENTR,reviewed,Glycosyltransferase 1 domain-containing protein 1 (EC 2.4.-.-),glt1d1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),345
Q6NVS9,AG1_XENTR,reviewed,Anterior gradient protein 1,ag1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),187
Q28ID5,AGR2_XENTR,reviewed,Anterior gradient protein 2,agr2 TNeu048m19.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),164
Q6DIW0,CF120_XENTR,reviewed,UPF0669 protein C6orf120 homolog,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),187
A0A803JU25,A0A803JU25_XENTR,unreviewed,Beta-microseminoprotein,LOC101733634,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),112
A0A6I8ST40,A0A6I8ST40_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),LOC394967,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),471
A0A6I8RIF9,A0A6I8RIF9_XENTR,unreviewed,Galanin peptides,gal.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),119
F6XUG3,F6XUG3_XENTR,unreviewed,TNF superfamily member 11,tnfsf11,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),290
A0A6I8S7D8,A0A6I8S7D8_XENTR,unreviewed,Inter-alpha-trypsin inhibitor heavy chain family member 6,itih6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1179
A0A6I8SZE6,A0A6I8SZE6_XENTR,unreviewed,"Papilin, proteoglycan-like sulfated glycoprotein",papln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1198
A0A6I8PUA9,A0A6I8PUA9_XENTR,unreviewed,Dorsal inhibitory axon guidance protein,draxin,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),364
F7BF33,F7BF33_XENTR,unreviewed,Cellular communication network factor 1 like,ccn1l,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),614
A0A6I8S0G6,A0A6I8S0G6_XENTR,unreviewed,"Papilin, proteoglycan-like sulfated glycoprotein",papln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1204
A0A6I8SEC6,A0A6I8SEC6_XENTR,unreviewed,GLUCAGON domain-containing protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),115
A0A803K886,A0A803K886_XENTR,unreviewed,Alpha-synuclein,snca,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),127
A0A6I8SR34,A0A6I8SR34_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),298
A0A1B8XWS7,A0A1B8XWS7_XENTR,unreviewed,Clusterin,XENTR_v90030463mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),150
A0A803KJ37,A0A803KJ37_XENTR,unreviewed,Insulin-like growth factor-binding protein 1,igfbp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),268
A0A6I8PWM4,A0A6I8PWM4_XENTR,unreviewed,Matrix metalloproteinase-18,LOC100489735,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),492
Q4VA84,Q4VA84_XENTR,unreviewed,Semaphorin-3C (Fragment),sema3c,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),487
A0A803JU38,A0A803JU38_XENTR,unreviewed,Guanylin-like,LOC116410927,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),109
A0A6I8REZ8,A0A6I8REZ8_XENTR,unreviewed,Collagen type VI alpha 5 chain,col6a5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2699
A0A803JTN3,A0A803JTN3_XENTR,unreviewed,Otogelin-like 2,otogl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3285
A0A6I8R248,A0A6I8R248_XENTR,unreviewed,Glucose-6-phosphate isomerase (EC 5.3.1.9),gpi,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),602
F7B862,F7B862_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 4,adamts4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),852
A0A6I8SLH9,A0A6I8SLH9_XENTR,unreviewed,Protein Wnt,wnt9a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),348
A0A6I8R3T2,A0A6I8R3T2_XENTR,unreviewed,Prepronociceptin,pnoc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),255
A0A6I8QYK8,A0A6I8QYK8_XENTR,unreviewed,"Collagen, type I, alpha 1",col1a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1413
Q6DIV9,Q6DIV9_XENTR,unreviewed,Pentaxin (Pentraxin),crp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),234
A0A1B8Y3Y4,A0A1B8Y3Y4_XENTR,unreviewed,Uncharacterized protein,XENTR_v90026974mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1468
A0A6I8SMC3,A0A6I8SMC3_XENTR,unreviewed,"Collagen, type XII, alpha 1",col12a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1892
A4QNQ2,A4QNQ2_XENTR,unreviewed,Prl protein,prl.1 prl,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),230
F7A1Y6,F7A1Y6_XENTR,unreviewed,"Collagen, type XIV, alpha 1",col14a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1780
A0A6I8SC36,A0A6I8SC36_XENTR,unreviewed,Semaphorin-3C,sema3c,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),746
A0A803JIC7,A0A803JIC7_XENTR,unreviewed,Heparan sulfate proteoglycan 2,hspg2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4285
A0A803JT23,A0A803JT23_XENTR,unreviewed,Neuropeptide VF precursor,npvf,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),208
A0A803J677,A0A803J677_XENTR,unreviewed,Olfactomedin 1,olfm1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),457
B4F6K0,B4F6K0_XENTR,unreviewed,Bmp7.2 protein,bmp7.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),424
A0A6I8R2I9,A0A6I8R2I9_XENTR,unreviewed,"EGF-like, fibronectin type III and laminin G domains",egflam,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1035
A0A803J416,A0A803J416_XENTR,unreviewed,Ciliary neurotrophic factor,clcf1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),259
F6VAM4,F6VAM4_XENTR,unreviewed,Bone morphogenetic protein 5,bmp5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),449
A0A6I8RXV9,A0A6I8RXV9_XENTR,unreviewed,"Collagen, type IV, alpha 6",col4a6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1706
A0A6I8SL29,A0A6I8SL29_XENTR,unreviewed,Sphingomyelin phosphodiesterase acid-like 3A,smpdl3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),426
A0A803KAH4,A0A803KAH4_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),155
F6Y907,F6Y907_XENTR,unreviewed,Pentaxin (Pentraxin),crp.4 apcs,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),242
A0A7D9NJT0,A0A7D9NJT0_XENTR,unreviewed,Heparan sulfate proteoglycan 2,hspg2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4309
Q5FW21,Q5FW21_XENTR,unreviewed,MGC107878 protein,f10 MGC107878,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),464
F6U172,F6U172_XENTR,unreviewed,Cartilage intermediate layer protein,cilp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1176
F6XFF3,F6XFF3_XENTR,unreviewed,Inter-alpha-trypsin inhibitor heavy chain family member 5,itih5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),930
B7ZTZ7,B7ZTZ7_XENTR,unreviewed,"Cerberus 1, cysteine knot superfamily",cer1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),276
A0A6I8S9X4,A0A6I8S9X4_XENTR,unreviewed,Galanin peptides,gal.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),122
F6XIK2,F6XIK2_XENTR,unreviewed,Uncharacterized protein,gabbr1 mfrp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),477
A0A803K1W3,A0A803K1W3_XENTR,unreviewed,Pleiotrophin,ptn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),146
A0A6I8RPZ1,A0A6I8RPZ1_XENTR,unreviewed,Indian hedgehog,ihh,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),378
A0A6I8R7Z4,A0A6I8R7Z4_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 8,adamts8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),425
A0A6I8RWU7,A0A6I8RWU7_XENTR,unreviewed,Fibrillin 3,fbn3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2867
A0A803JYH4,A0A803JYH4_XENTR,unreviewed,Metalloproteinase inhibitor 1 (Tissue inhibitor of metalloproteinases 1),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),203
A0A803K504,A0A803K504_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),139
A0A6I8QKZ0,A0A6I8QKZ0_XENTR,unreviewed,Complement C3,c3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1703
A0A6I8R7M7,A0A6I8R7M7_XENTR,unreviewed,Slit guidance ligand 2,slit2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1556
A0A803J7G6,A0A803J7G6_XENTR,unreviewed,Matrix metallopeptidase 13,mmp13,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),259
A0A803JAY8,A0A803JAY8_XENTR,unreviewed,Alpha-synuclein,snca,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),188
A0A6I8STM1,A0A6I8STM1_XENTR,unreviewed,Latent-transforming growth factor beta-binding protein 1,ltbp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1438
F6YG86,F6YG86_XENTR,unreviewed,Cellular communication network factor 3,col27a1 ccn3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),331
F7A116,F7A116_XENTR,unreviewed,"Tumor necrosis factor (ligand) superfamily, member 10 like",tnfsf10l,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),328
A8WGY1,A8WGY1_XENTR,unreviewed,LOC100127719 protein,c1qtnf1 LOC100127719,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),255
A0A6I8QGB2,A0A6I8QGB2_XENTR,unreviewed,BCL2-associated athanogene 6,bag6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1116
A0A803J9Q7,A0A803J9Q7_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1481
F7ADR5,F7ADR5_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2243
A0A6I8R123,A0A6I8R123_XENTR,unreviewed,Matrix metalloproteinase-18,mmp8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),478
A0A803J6V4,A0A803J6V4_XENTR,unreviewed,Natriuretic peptide B,nppb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),156
F7B747,F7B747_XENTR,unreviewed,Tenascin R,tnr,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1355
A0A7D9NMH1,A0A7D9NMH1_XENTR,unreviewed,Neural EGFL-like 1,nell1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),745
A0A803K6K9,A0A803K6K9_XENTR,unreviewed,Vascular endothelial growth factor C,vegfc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),383
A0A803KCD1,A0A803KCD1_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),220
A0A6I8PV01,A0A6I8PV01_XENTR,unreviewed,"Complement C6, gene 2",c6.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),934
L7N2L9,L7N2L9_XENTR,unreviewed,Pentaxin (Pentraxin),crp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),232
B1WAV7,B1WAV7_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),277
A0A6I8Q182,A0A6I8Q182_XENTR,unreviewed,TUB like protein 1,tulp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),133
A0A6I8R1A5,A0A6I8R1A5_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),177
A0A803JJ50,A0A803JJ50_XENTR,unreviewed,Hemagglutinin/amebocyte aggregation factor,LOC100486393,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),188
A0A803JSQ2,A0A803JSQ2_XENTR,unreviewed,NTR domain-containing protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1605
A0A803JVZ4,A0A803JVZ4_XENTR,unreviewed,Microfibril associated protein 5,mfap5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),142
F6RIJ3,F6RIJ3_XENTR,unreviewed,Fibromodulin (Keratan sulfate proteoglycan fibromodulin),fmod,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),357
Q5FW03,Q5FW03_XENTR,unreviewed,MGC107924 protein,penk MGC107924,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),262
A0A6I8RSE7,A0A6I8RSE7_XENTR,unreviewed,Slit guidance ligand 1,slit1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1518
A0A6I8RRU0,A0A6I8RRU0_XENTR,unreviewed,Provisional ortholog of Fc fragment of IgG-binding protein,XB5897453 [provisional:fcgbp],Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2790
A0A803J8P5,A0A803J8P5_XENTR,unreviewed,Apolipoprotein H (Beta-2-glycoprotein 1) (Beta-2-glycoprotein I),apoh,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),355
A0A803K6X4,A0A803K6X4_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1429
A0A6I8T030,A0A6I8T030_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 15,adamts15,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),938
A0A6I8S5M5,A0A6I8S5M5_XENTR,unreviewed,Nucleobindin-1,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),289
A0A803JVY9,A0A803JVY9_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),613
A0A6I8RWS0,A0A6I8RWS0_XENTR,unreviewed,Otogelin-like 2,otogl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3475
A0A1B8Y2V3,A0A1B8Y2V3_XENTR,unreviewed,Lipase domain-containing protein (Fragment),XENTR_v900273251mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),169
A0A6I8QYX3,A0A6I8QYX3_XENTR,unreviewed,Complement C3,c3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1658
F6R032,F6R032_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),428
A0A6I8R7I7,A0A6I8R7I7_XENTR,unreviewed,Thrombospondin type 1 domain containing 4,thsd4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),988
F7CDC7,F7CDC7_XENTR,unreviewed,ADAMTS-like 5,adamtsl5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),525
A0A1B8Y6E8,A0A1B8Y6E8_XENTR,unreviewed,Protein Wnt (Fragment),XENTR_v900307952mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),109
A0A6I8PVH6,A0A6I8PVH6_XENTR,unreviewed,Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),405
A0A6I8QD15,A0A6I8QD15_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 10,adamts10,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1102
F6V657,F6V657_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 18,adamts18,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1217
A0A803JYV5,A0A803JYV5_XENTR,unreviewed,Protein Wnt,wnt7a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),347
A0A803K241,A0A803K241_XENTR,unreviewed,Intestinal mucin-like protein,LOC105945636,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),384
A0A803JKR6,A0A803JKR6_XENTR,unreviewed,"Mucin 5AC, oligomeric mucus/gel-forming",muc5ac,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4133
A0A803K5E1,A0A803K5E1_XENTR,unreviewed,Collagenase 3,LOC101731804,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),260
A0A803JFK1,A0A803JFK1_XENTR,unreviewed,Urocortin,ucn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),158
A0A6I8PZZ0,A0A6I8PZZ0_XENTR,unreviewed,Gastric inhibitory polypeptide (Glucose-dependent insulinotropic polypeptide),gip,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),166
A0A803K938,A0A803K938_XENTR,unreviewed,Netrin-1,LOC100493770,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),604
A0A803K5I1,A0A803K5I1_XENTR,unreviewed,Follistatin like 1,fstl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),282
F7A647,F7A647_XENTR,unreviewed,AE binding protein 1,aebp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1210
A0A803JRI6,A0A803JRI6_XENTR,unreviewed,Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy),psap,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),539
A0A803JZQ6,A0A803JZQ6_XENTR,unreviewed,Growth/differentiation factor 8 (Myostatin),mstn.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),369
F6U531,F6U531_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 1,adamts1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),927
A0A6I8SNY4,A0A6I8SNY4_XENTR,unreviewed,Cathepsin K (EC 3.4.22.38),ctsk,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),331
A0A803KG24,A0A803KG24_XENTR,unreviewed,Agouti related neuropeptide,agrp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),183
B0BML6,B0BML6_XENTR,unreviewed,Il17d protein,il17d,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),204
A4IH15,A4IH15_XENTR,unreviewed,Alpha-synuclein,snca LOC100038302,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),140
A0A803JCQ9,A0A803JCQ9_XENTR,unreviewed,Cocaine- and amphetamine-regulated transcript protein-like,LOC116406646,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),111
A4ZGN8,A4ZGN8_XENTR,unreviewed,Protein Wnt (Fragment),Wnt10b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),382
A0A6I8R7P2,A0A6I8R7P2_XENTR,unreviewed,Protein Wnt,wnt2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),365
A0A803JF35,A0A803JF35_XENTR,unreviewed,Syndecan,sdc1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),584
A0A1B8Y7B2,A0A1B8Y7B2_XENTR,unreviewed,Uncharacterized protein,tac1 XENTR_v90030196mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),95
A0A803J6P3,A0A803J6P3_XENTR,unreviewed,"Mucin 5AC, oligomeric mucus/gel-forming",muc5ac,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3937
A0A6I8QD76,A0A6I8QD76_XENTR,unreviewed,Elastin (Tropoelastin),eln1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1133
A0A803K3V3,A0A803K3V3_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),440
F6TK08,F6TK08_XENTR,unreviewed,Acid sphingomyelinase-like phosphodiesterase,smpdl3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),450
A0A6I8PWU7,A0A6I8PWU7_XENTR,unreviewed,Neuropeptide B,npb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),139
A0A803JT75,A0A803JT75_XENTR,unreviewed,"Complement component 1, q subcomponent-like 1",c1ql1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),262
A0A803K3W4,A0A803K3W4_XENTR,unreviewed,Pentaxin (Pentraxin),crp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),234
A0A6I8SSJ5,A0A6I8SSJ5_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2804
A0A6I8Q0C3,A0A6I8Q0C3_XENTR,unreviewed,Follistatin like 1,fstl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),296
F7CLT6,F7CLT6_XENTR,unreviewed,Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy),psap,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),438
A0A803JW35,A0A803JW35_XENTR,unreviewed,Neuropeptide Y,npy,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),104
A0A803KAA2,A0A803KAA2_XENTR,unreviewed,"Surfactant, pulmonary-associated protein B",sftpb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),362
F6UBU1,F6UBU1_XENTR,unreviewed,Cellular communication network factor 4,ccn4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),358
A0A6I8QKQ3,A0A6I8QKQ3_XENTR,unreviewed,Liver-expressed antimicrobial peptide 2,aff4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),78
A0A6I8QUP1,A0A6I8QUP1_XENTR,unreviewed,Brevican,bcan,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1150
A0A803K3J2,A0A803K3J2_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2386
A0A6I8QK53,A0A6I8QK53_XENTR,unreviewed,Semaphorin-3C,sema3c,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),733
A0A6R4ZTV5,A0A6R4ZTV5_XENTR,unreviewed,"Complement component 1, q subcomponent-like 3",c1ql3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),257
A0A803K1M6,A0A803K1M6_XENTR,unreviewed,Fibulin 2,fbln2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),986
A0A803K3U8,A0A803K3U8_XENTR,unreviewed,Leukemia inhibitory factor,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),219
A0A6I8Q4V1,A0A6I8Q4V1_XENTR,unreviewed,Preprocaerulein type-4-like,LOC116411701,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),91
A0A803KAY9,A0A803KAY9_XENTR,unreviewed,Alpha-synuclein,snca,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),154
A0A803JQK4,A0A803JQK4_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),89
A0A6I8QE71,A0A6I8QE71_XENTR,unreviewed,Neuregulin 1,nrg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),617
A0A803J5Z0,A0A803J5Z0_XENTR,unreviewed,ADAMTS-like 5,adamtsl5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),497
B0JYX1,B0JYX1_XENTR,unreviewed,Protein Wnt,wnt7b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),282
A0A6I8S7M0,A0A6I8S7M0_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),CXCL8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),101
A8KBE2,A8KBE2_XENTR,unreviewed,Pro-thyrotropin-releasing hormone,trh LOC100127646,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),226
F7AV82,F7AV82_XENTR,unreviewed,Mucin-5AC,LOC100495470,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),5623
F6TWI0,F6TWI0_XENTR,unreviewed,Otolin 1,ankle1 otol1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3095
A0A6I8SD51,A0A6I8SD51_XENTR,unreviewed,Protein Wnt,wnt4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),333
A0A6I8RME7,A0A6I8RME7_XENTR,unreviewed,Mucin-5AC,LOC100495470,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),5333
